[     129ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[     147ms] [LOG] [HMR] connected @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[    7116ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=tMD7TxJ8Bv2RchhUAfEr1' failed:  @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[    8122ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=tMD7TxJ8Bv2RchhUAfEr1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[    9125ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=tMD7TxJ8Bv2RchhUAfEr1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   10127ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=tMD7TxJ8Bv2RchhUAfEr1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   11130ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=tMD7TxJ8Bv2RchhUAfEr1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   12134ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=tMD7TxJ8Bv2RchhUAfEr1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   17143ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=tMD7TxJ8Bv2RchhUAfEr1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   22151ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=tMD7TxJ8Bv2RchhUAfEr1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   27169ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=tMD7TxJ8Bv2RchhUAfEr1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   32188ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=tMD7TxJ8Bv2RchhUAfEr1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   37233ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=tMD7TxJ8Bv2RchhUAfEr1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   42327ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=tMD7TxJ8Bv2RchhUAfEr1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   47539ms] [ERROR] WebSocket connection to 'ws://localhost:3000/_next/webpack-hmr?id=tMD7TxJ8Bv2RchhUAfEr1' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
